"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.04182,0.04182,1.01955232189822
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.31362,0.31362,1.06892911699477
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,3.9934,3.9934,1.94161226151854
"ABCA2",653.80406,399.10733,391.13012,481.34717,190.96195,190.96195,2.51272280782728
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,75.62373,75.62373,0.720466579565712
"ABCA4",0.14909,1.2435,4.87219,2.08826,0.33453,0.33453,2.31411807902408
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,12.96287,12.96287,0.980648200071571
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,12.28337,12.28337,0.204385383126922
"ABCA7",25.04755,30.28607,84.07266,46.46876,45.76731,45.76731,1.01499872453643
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,65.06526,65.06526,0.21729736122535
"ABCA9",4.27399,5.11216,7.20997,5.53204,5.22697,5.22697,1.0489917247072
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,8.45723,8.45723,5.18551238928664
"ABCB10",4.88692,5.44375,6.03016,5.45361,3.61706,3.61706,1.39777477442355
"ABCB10P1",0.11596,0,0,0.0386533333333333,0.05227,0.05227,0.987059721681064
"ABCB10P3",0,0,0,0,0,0,1
"ABCB10P4",0,0,0,0,0.01045,0.01045,0.989658073135732
"ABCB11",0,0.13817,0,0.0460566666666667,0,0,1.04605666666667
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,0.57497,0.57497,1.97209682300827
"ABCB5",0.08283,0,0.08739,0.05674,0.01045,0.01045,1.04581127220545
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,58.67791,58.67791,1.25407636873789
"ABCB7",9.39283,10.44538,6.99149,8.94323333333333,7.97635,7.97635,1.10771453133326
"ABCB8",32.81693,34.40342,28.81804,32.0127966666667,33.23304,33.23304,0.964354806545567
"ABCB9",28.26133,22.82508,50.88493,33.9904466666667,31.39315,31.39315,1.08018042909278
"ABCC1",4.15803,4.17262,3.45205,3.92756666666667,3.54388,3.54388,1.0844403167924
"ABCC10",43.66756,37.52598,47.14886,42.7808,18.64981,18.64981,2.22805207785724
"ABCC11",0.89456,2.32119,0.45882,1.22485666666667,0.16726,0.16726,1.90605063710456
"ABCC12",0.19879,0.11053,5.26547,1.85826333333333,0.15681,0.15681,2.47081485579597
"ABCC13",0,0.11053,0.41512,0.175216666666667,0.35543,0.35543,0.867043422874414
"ABCC2",0.76203,0.4974,0.26218,0.507203333333333,0.06272,0.06272,1.41825065241393
"ABCC3",0.34788,1.1606,1.76972,1.09273333333333,1.82944,1.82944,0.739628100731358
"ABCC4",2.20326,1.54746,0.76469,1.50513666666667,3.8575,3.8575,0.515725510379139
"ABCC5",56.07537,36.86278,41.27163,44.7365933333333,25.43441,25.43441,1.73019156975069
"ABCC6",1.49093,1.93433,0.74285,1.38937,0.45997,0.45997,1.63658842304979
"ABCC6P1",0.23192,1.46456,0.89578,0.864086666666667,0.07318,0.07318,1.73697484733844
"ABCC6P2",0.59637,0.4974,1.17981,0.75786,0.09409,0.09409,1.60668683563509
"ABCC8",81.60333,51.53605,127.72577,86.95505,10.87209,10.87209,7.40855653890764
"ABCC9",4.50591,6.68725,4.85035,5.34783666666667,0.7945,0.7945,3.53738460109594
"ABCD1",5.74835,9.11898,4.91589,6.59440666666667,6.76369,6.76369,0.978195505831205
"ABCD1P2",0,0,0,0,0,0,1
"ABCD1P3",0,0,0,0,0,0,1
"ABCD1P4",0,0,0,0,0,0,1
"ABCD1P5",0,0,0,0,0,0,1
"ABCD2",2.31922,2.81859,2.81844,2.65208333333333,1.589,1.589,1.41061542423072
"ABCD3",15.57189,20.36572,16.73588,17.55783,23.9395,23.9395,0.744113955772971
