"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"Abcb11","ABCB11",4,0.00595041,5,0.00686992,5,0.00783612,0.00688548333333,"ABCB11",0.107312,0.072965,0,3,3,0,0.0600923333333333,0.949809230453822
"Abcb1b","ABCB1",263,0.598806,225,0.473159,247,0.592476,0.554813666667,"ABCB1",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.401176840420508
"Abcb4","ABCB4",753,1.7839,737,1.61264,630,1.57239,1.65631,"ABCB4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,1.15873786760696
"Abcb5","ABCB5",8,0.0125933,3,0.00436179,3,0.00497524,0.00731011,"ABCB5",0,0,0,0,0,0,0,1.00731011
"Abcb6","ABCB6",537,9.60665,500,8.26156,495,9.32925,9.06582,"ABCB6",11.256848,9.906954,10.797514,311,438,107,10.653772,0.863739225376985
"Abcb7","ABCB7",11285,13.1497,11821,12.7222,10002,12.2785,12.7168,"ABCB7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,1.7194089001255
"Abcb8","ABCB8",816,7.72636,935,8.17695,799,7.97032,7.95787666667,"ABCB8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.306603926962069
"Abcb9","ABCB9",1104,5.00017,1193,4.99058,1097,5.23439,5.07504666667,"ABCB9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.413059824632577
"Abcc1","ABCC1",688,0.935223,722,0.906482,654,0.936588,0.926097666667,"ABCC1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,0.300391091656798
"Abcc10","ABCC10",269,1.66128,280,1.59714,283,1.84128,1.6999,"ABCC10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,0.591314926502308
"Abcc12","ABCC12",74,0.11669,54,0.0786487,49,0.0814034,0.0922473666667,"ABCC12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.634595128590693
"Abcc2","ABCC2",5,0.0132546,2,0.00489691,1,0.00279281,0.00698144,"ABCC2",0.077074,0.105317,0.017706,5,9,1,0.066699,0.944016484500313
"Abcc3","ABCC3",49,0.153014,57,0.164401,62,0.203972,0.173795666667,"ABCC3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.711288427775093
"Abcc4","ABCC4",979,0.679779,989,0.634273,939,0.686902,0.666984666667,"ABCC4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,0.431445775929366
"Abcc5","ABCC5",6994,11.4156,6910,10.4171,6254,10.7541,10.8622666667,"ABCC5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.0744871035313618
"Abcc6","ABCC6",10,0.0247353,11,0.0251307,6,0.0156355,0.0218338333333,"ABCC6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,0.47439351785794
"Abcc8","ABCC8",311,0.639245,322,0.611304,324,0.70161,0.650719666667,"ABCC8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,0.104098678174239
"Abcc9","ABCC9",102,0.13832,135,0.169089,103,0.147152,0.151520333333,"ABCC9",2.029741,1.735282,2.238094,334,424,115,2.001039,0.383707220510297
"Abcd1","ABCD1",366,2.58941,332,2.16947,324,2.41495,2.39127666667,"ABCD1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,0.784397249953972
"Abcd2","ABCD2",764,2.5818,867,2.7061,689,2.45298,2.58029333333,"ABCD2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.130711417096139
"Abcd3","ABCD3",2309,6.33971,2291,5.80986,2118,6.12654,6.09203666667,"ABCD3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.307322939402617
"Abcd4","ABCD4",536,5.2158,553,4.97023,537,5.50522,5.23041666667,"ABCD4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,0.64495980882068
"Abce1","ABCE1",3754,20.6038,3987,20.2113,3518,20.342,20.3857,"ABCE1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,1.10805026789483
"Abcf1","ABCF1",1730,20.7457,1826,20.2245,1763,22.273,21.0810666667,"ABCF1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,0.612343105521643
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.04221522221031
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.04221522221031
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2-H2BE1",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.04221522221031
"Abcf2","ABCF2",2279,29.1777,2356,27.8597,2138,28.8376,28.625,"ABCF2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,1.04221522221031
"Abcf3","ABCF3",1658,20.0997,1764,19.7514,1555,19.86,19.9037,"ABCF3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.0837147521771291
"Abcg1","ABCG1",1593,4.09935,1599,3.80051,1512,4.09916,3.99967333333,"ABCG1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.283345513578407
"Abcg3","ABCG2",15,0.0488468,7,0.0210541,8,0.027446,0.0324489666667,"ABCG2",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,0.936942937581573
"Abcg4","ABCG4",1301,13.0883,1303,12.1073,1252,13.2695,12.8217,"ABCG4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.589539452719612
"Abcg5","ABCG5",4,0.0250559,2,0.0115711,1,0.00659925,0.01440875,"ABCG5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.926267877573718
"Abcg8","ABCG8",12,0.0775012,28,0.167024,7,0.0476287,0.0973846333333,"ABCG8",0.024937,0.008273,0,2,1,0,0.01107,1.08536959195041
"Abhd1","ABHD1",387,11.951,427,12.1792,372,12.1027,12.0776333333,"ABHD1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,6.5991638200632
"Abhd10","ABHD10",1071,12.5636,1157,12.5358,989,12.2226,12.4406666667,"ABHD10",10.83551,11.441995,11.652591,366,588,127,11.310032,1.09184660662945
"Abhd11","ABHD11",473,24.2771,487,23.0865,430,23.2513,23.5383,"ABHD11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,1.59037198746539
"Abhd12","ABHD12",4726,10.1526,5063,10.0459,4747,10.7436,10.3140333333,"ABHD12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.0545428385384446
"Abhd12b","ABHD12B",2,0.0104356,3,0.0144579,3,0.0164913,0.0137949333333,"ABHD12B",0.266634,0.335715,0.208905,7,20,3,0.270418,0.798001077860437
"Abhd13","ABHD13",535,5.74689,566,5.61553,432,4.88885,5.41709,"ABHD13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,1.12630841344856
"Abhd14a","ABHD14A",570,11.5979,581,10.9189,552,11.8329,11.4499,"ABHD14A",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,0.880719010155373
"Abhd14b","ABHD14B",506,14.3707,541,14.1912,507,15.1698,14.5772333333,"ABHD14B",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,1.05082722368527
"Abhd15","ABHD15",4270,28.2174,4193,25.5923,3798,26.4416,26.7504333333,"ABHD15",0.515703,0.794554,0.51023,29,56,9,0.606829,17.2703089957301
"Abhd16a","ABHD16A",1791,20.2535,1984,20.7225,1609,19.1692,20.0484,"ABHD16A",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.388049564044334
"Abhd16b","ABHD16B",3,0.262325,1,0.0807632,0,0,0.114362733333,"ABHD16B",0,0.018444,0,0,1,0,0.006148,1.10755349444913
"Abhd17a","ABHD17A",1543,35.8085,1615,34.6169,1432,35.0113,35.1455666667,"ABHD17A",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.562570693447223
"Abhd17b","ABHD17B",1336,6.38953,1370,6.0517,1170,5.89511,6.11211333333,"ABHD17B",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.453962082642336
"Abhd17c","ABHD17C",525,1.91558,552,1.86026,478,1.83743,1.87109,"ABHD17C",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,0.350360290718741
"Abhd18","ABHD18",959,1.63263,905,1.42303,804,1.44202,1.49922666667,"ABHD18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,0.507814912867894
"Abhd2","ABHD2",7430,12.4927,7511,11.6644,6700,11.8683,12.0084666667,"ABHD2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,1.12001344060039
"Abhd3","ABHD3",538,1.29101,575,1.27441,531,1.34241,1.30261,"ABHD3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.0497211988625974
"Abhd4","ABHD4",2599,24.5221,2698,23.5119,2384,23.6974,23.9104666667,"ABHD4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.550492076039321
"Abhd5","ABHD5",1118,5.80017,1136,5.44342,953,5.20878,5.48412333333,"ABHD5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.263646035229662
"Abhd6","ABHD6",696,2.0056,708,1.88435,682,2.07044,1.98679666667,"ABHD6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.169978333448449
"Abhd8","ABHD8",1833,40.9291,1869,38.5455,1711,40.2498,39.9081333333,"ABHD8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.785230291462466
"Abi1","ABI1",2942,4.55855,2887,4.13167,2706,4.41729,4.36917,"ABI1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.0967836937371787
"Abi2","ABI2",2196,4.76431,2094,4.19604,1939,4.4319,4.46408333333,"ABI2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,0.233478114523627
"Abi3","ABI3",692,8.65957,690,7.97506,685,9.03077,8.55513333333,"ABI3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,2.16648729374558
"Abi3bp","ABI3BP",361,0.263973,384,0.259346,283,0.218013,0.247110666667,"ABI3BP",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,0.748643416824913
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,1.45981424392562
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,0.144649810883712
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.520642082475345
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,0.269332176574964
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.0302670529155468
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",3.978462,2.558477,2.756626,379,366,82,3.097855,0.749141522413555
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0,0.018597,0.087707,0,1,1,0.0354346666666667,0.972277130634996
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,0.0984391526531702
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.04319712407387
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.0982479579518364
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,0.563859124416972
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.638739804791693
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,2.32395579864236
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",20.185235,16.277574,21.128845,464,615,144,19.197218,1.09598097454313
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.528860427386418
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.773102,0.218939,0.620438,15,11,7,0.537493,3.30516626742366
