"Hs_symbol","Heart","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"TMEM121",0,0,27.05188,27.05188,0.0356482346281247
"TMEM123",128.89877,128.89877,82.02695,82.02695,1.56453741827202
"TMEM125",0,0,46.36576,46.36576,0.021112297153049
"TMEM126A",171.25358,171.25358,40.34962,40.34962,4.16578386935599
"TMEM126B",114.18592,114.18592,49.51905,49.51905,2.28004920915971
"TMEM127",45.30243,45.30243,15.84941,15.84941,2.7480149156558
"TMEM128",25.63048,25.63048,26.45027,26.45027,0.970135448576644
"TMEM129",4.78199,4.78199,47.25781,47.25781,0.11981459581361
"TMEM130",0.11386,0.11386,354.16389,354.16389,0.00313618594502949
"TMEM131",24.65637,24.65637,15.55898,15.55898,1.54939313894938
"TMEM132A",1.89762,1.89762,114.82528,114.82528,0.0250171637832432
"TMEM132B",0.8476,0.8476,10.35191,10.35191,0.16275675194747
"TMEM132C",1.5687,1.5687,15.476,15.476,0.155905559601845
"TMEM132D",0,0,7.0949,7.0949,0.123534571149736
"TMEM132E",0,0,4.70918,4.70918,0.175156502334836
"TMEM133",14.08032,14.08032,3.36074,3.36074,3.45820204827621
"TMEM134",2.87173,2.87173,107.25324,107.25324,0.0357654884047812
"TMEM135",14.71285,14.71285,131.81568,131.81568,0.118305684991411
"TMEM136",15.11768,15.11768,20.86978,20.86978,0.736984094032953
"TMEM138",38.74933,38.74933,27.48753,27.48753,1.39532384871556
"TMEM139",8.9441,8.9441,6.16136,6.16136,1.38857703006133
"TMEM140",22.06296,22.06296,15.37227,15.37227,1.40865988650322
"TMEM141",18.40688,18.40688,82.67005,82.67005,0.231945361572032
"TMEM143",24.75757,24.75757,6.24434,6.24434,3.55554405232223
"TMEM144",22.63224,22.63224,335.24417,335.24417,0.0702829732334095
"TMEM145",0,0,21.53363,21.53363,0.0443781139567837
"TMEM147",49.80611,49.80611,76.19751,76.19751,0.658131460457727
"TMEM14A",14.83936,14.83936,46.92589,46.92589,0.330496940171586
"TMEM14B",299.16559,299.16559,159.32396,159.32396,1.87224411123578
"TMEM14C",278.75988,278.75988,57.2363,57.2363,4.80387455933842
"TMEM14D",0,0,0,0,1
"TMEM14E",0.0759,0.0759,0,0,1.0759
"TMEM150A",1.88497,1.88497,8.44334,8.44334,0.305503137661039
"TMEM150B",0.20241,0.20241,0.8713,0.8713,0.642553305188906
"TMEM150C",15.00382,15.00382,9.27315,9.27315,1.55782987691214
"TMEM151A",0,0,112.48106,112.48106,0.00881204317266688
"TMEM151B",0.03795,0.03795,53.68886,53.68886,0.0189791851576354
"TMEM154",0.34157,0.34157,0.62236,0.62236,0.826924973495402
"TMEM155",0.41748,0.41748,8.54707,8.54707,0.148472777511844
"TMEM156",0.21506,0.21506,4.66769,4.66769,0.214383637778354
"TMEM158",0.50603,0.50603,7.77949,7.77949,0.171539576900253
"TMEM159",65.56898,65.56898,7.738,7.738,7.6183314259556
"TMEM160",0,0,85.49141,85.49141,0.0115618418060244
"TMEM161A",1.83436,1.83436,16.47177,16.47177,0.162225120866403
"TMEM161B",14.42189,14.42189,6.30657,6.30657,2.11068805198609
"TMEM163",0.72109,0.72109,31.05573,31.05573,0.0536905570392563
"TMEM164",25.45336,25.45336,15.20631,15.20631,1.63228767066655
"TMEM165",68.89613,68.89613,231.33092,231.33092,0.30084730004943
"TMEM167A",50.13503,50.13503,21.16021,21.16021,2.30751558762304
"TMEM167AP1",0,0,0,0,1
"TMEM167B",64.50631,64.50631,17.92395,17.92395,3.46155585910975
"TMEM168",33.58781,33.58781,11.34768,11.34768,2.8011585982144
"TMEM169",0.36687,0.36687,3.63043,3.63043,0.295192887053686
"TMEM17",3.99765,3.99765,8.23589,8.23589,0.541111901505973
"TMEM170A",11.73992,11.73992,21.11872,21.11872,0.575979080163771
"TMEM170B",4.20006,4.20006,3.96235,3.96235,1.04790270738662
"TMEM171",0.0759,0.0759,2.15751,2.15751,0.340743180544163
"TMEM173",29.75463,29.75463,12.42644,12.42644,2.29060197639881
"TMEM174",0,0,0,0,1
"TMEM175",3.85849,3.85849,272.13694,272.13694,0.0177877441257122
"TMEM176A",14.63695,14.63695,31.84405,31.84405,0.476096888173048
"TMEM176B",27.81906,27.81906,28.83598,28.83598,0.965916319825928
"TMEM177",5.88261,5.88261,10.72532,10.72532,0.586986964961297
"TMEM178A",5.45249,5.45249,65.47219,65.47219,0.0970705192652747
"TMEM178B",13.06825,13.06825,11.09874,11.09874,1.16278637279584
"TMEM179",0,0,33.75262,33.75262,0.0287748089208814
"TMEM179B",33.44866,33.44866,38.95969,38.95969,0.862085266427242
"TMEM18",19.30509,19.30509,24.70766,24.70766,0.78984590585063
"TMEM180",0.797,0.797,18.75376,18.75376,0.0909700229222184
"TMEM181",11.56281,11.56281,17.82022,17.82022,0.667516639019098
"TMEM182",171.51924,171.51924,15.18557,15.18557,10.6588300566492
"TMEM183A",27.22447,27.22447,38.31658,38.31658,0.717877038135056
"TMEM183AP1",0,0,0,0,1
"TMEM184A",0,0,2.199,2.199,0.312597686777118
"TMEM184B",14.85201,14.85201,62.21518,62.21518,0.250762712373832
"TMEM184C",26.62989,26.62989,9.25241,9.25241,2.69496537887189
"TMEM185A",20.02618,20.02618,10.31042,10.31042,1.85900965658216
"TMEM185AP1",0.18976,0.18976,0.60161,0.60161,0.742852504667179
"TMEM185B",15.50985,15.50985,5.82943,5.82943,2.4174565080834
"TMEM186",12.00559,12.00559,14.3765,14.3765,0.845809514518909
"TMEM187",1.78376,1.78376,15.82867,15.82867,0.165417706806301
"TMEM189",11.3098,11.3098,48.58551,48.58551,0.248253975808659
"TMEM189-UBE2V1",0,0,0,0,1
"TMEM19",25.88349,25.88349,12.05302,12.05302,2.05956092919493
"TMEM190",0,0,0.58087,0.58087,0.632563082353388
"TMEM191A",0,0,13.06954,13.06954,0.0710755291217765
"TMEM192",26.56663,26.56663,6.11987,6.11987,3.87178838939475
"TMEM194A",3.89644,3.89644,2.07453,2.07453,1.59258163036301
"TMEM194B",2.06208,2.06208,2.82136,2.82136,0.801306341197898
"TMEM196",0,0,1.16174,1.16174,0.462590320760128
"TMEM198",0.12651,0.12651,8.92048,8.92048,0.113553981258971
"TMEM198B",9.45013,9.45013,25.24704,25.24704,0.398145086074468
"TMEM199",10.87967,10.87967,17.38457,17.38457,0.646176113991244
"TMEM2",9.99411,9.99411,21.47139,21.47139,0.489249218673166
"TMEM200A",0,0,2.4272,2.4272,0.291783380018674
"TMEM200B",3.80788,3.80788,1.7841,1.7841,1.72690636112209
"TMEM200C",0.53133,0.53133,2.38571,2.38571,0.452292133703123
"TMEM201",2.84642,2.84642,11.9493,11.9493,0.297036905469794
"TMEM202",0,0,0,0,1
"TMEM203",54.57545,54.57545,30.64082,30.64082,1.75644784174367
"TMEM204",8.13445,8.13445,5.89167,5.89167,1.3254334580733
"TMEM205",59.59781,59.59781,114.43112,114.43112,0.524969436318386
"TMEM206",2.11268,2.11268,36.76068,36.76068,0.0824317782412817
"TMEM207",0,0,0,0,1
"TMEM208",5.90791,5.90791,53.0665,53.0665,0.127766916667437
"TMEM209",11.96764,11.96764,5.9539,5.9539,1.86480104689455
"TMEM210",0,0,0,0,1
"TMEM211",0,0,0,0,1
"TMEM212",0.43013,0.43013,2.59316,2.59316,0.398014560999232
"TMEM213",0.08856,0.08856,0.47714,0.47714,0.736937595623976
"TMEM214",30.79199,30.79199,35.41224,35.41224,0.87311272253506
"TMEM215",0,0,0,0,1
"TMEM216",7.41336,7.41336,6.92893,6.92893,1.06109651617557
"TMEM217",0.31627,0.31627,1.9708,1.9708,0.443069206947624
"TMEM218",21.31656,21.31656,17.82022,17.82022,1.18577572419451
"TMEM219",28.401,28.401,208.76003,208.76003,0.140164930373055
"TMEM220",16.10444,16.10444,8.69228,8.69228,1.76474885166339
"TMEM221",0.13916,0.13916,1.61813,1.61813,0.43510444477547
"TMEM222",3.2892,3.2892,65.14027,65.14027,0.0648500527742025
"TMEM223",28.4263,28.4263,21.05649,21.05649,1.33413340019196
"TMEM225",0,0,0,0,1
"TMEM229A",0,0,7.19862,7.19862,0.121971746464649
"TMEM229B",0.12651,0.12651,11.24396,11.24396,0.0920053642775703
"TMEM230",192.77255,192.77255,57.31928,57.31928,3.32261560842315
"TMEM231",4.66814,4.66814,9.56359,9.56359,0.536573267232068
"TMEM232",0.98676,0.98676,7.75875,7.75875,0.226831454260026
"TMEM233",0.29097,0.29097,0.49789,0.49789,0.861859015014454
"TMEM234",9.14651,9.14651,16.26432,16.26432,0.587715589145706
"TMEM235",0,0,98.47797,98.47797,0.0100524769453981
"TMEM236",0.12651,0.12651,0,0,1.12651
"TMEM237",34.19505,34.19505,7.9662,7.9662,3.9253028038634
"TMEM238",0,0,0.8713,0.8713,0.53438785870785
"TMEM239",0,0,0,0,1
"TMEM240",0,0,20.22667,20.22667,0.0471105453658063
"TMEM241",2.60606,2.60606,7.80024,7.80024,0.409768369953547
"TMEM242",30.31126,30.31126,12.69613,12.69613,2.28613922326964
"TMEM244",0,0,3.38149,3.38149,0.228232861423854
"TMEM245",55.05618,55.05618,12.48868,12.48868,4.15579434014299
"TMEM246",44.7458,44.7458,15.08184,15.08184,2.84456256249285
"TMEM247",0,0,0,0,1
"TMEM248",36.77581,36.77581,16.67923,16.67923,2.13673389621607
"TMEM248P1",0,0,0,0,1
"TMEM249",0.16446,0.16446,2.46869,2.46869,0.335705986986442
"TMEM25",6.5025,6.5025,30.88976,30.88976,0.235263608130008
"TMEM251",51.45071,51.45071,10.14446,10.14446,4.70643799699582
"TMEM252",1.45484,1.45484,0,0,2.45484
"TMEM26",0.48073,0.48073,0.20745,0.20745,1.22632821234834
"TMEM27",3.03619,3.03619,0.51863,0.51863,2.65778366027275
"TMEM30A",61.30567,61.30567,54.33196,54.33196,1.12603403168802
"TMEM30B",0.34157,0.34157,0.4564,0.4564,0.921154902499313
"TMEM30C",0,0,0,0,1
"TMEM31",0.29097,0.29097,3.09105,3.09105,0.315559575170189
"TMEM33",13.59959,13.59959,7.07415,7.07415,1.80818909730436
"TMEM35",0.20241,0.20241,21.94854,21.94854,0.0523959258410339
"TMEM37",1.89762,1.89762,4.99962,4.99962,0.482967254592791
"TMEM38A",17.60988,17.60988,12.19824,12.19824,1.41002739759241
"TMEM38B",61.0653,61.0653,20.41338,20.41338,2.89843546418174
"TMEM39A",17.82495,17.82495,13.23551,13.23551,1.32239378849089
"TMEM39B",1.99882,1.99882,11.22321,11.22321,0.245338172214991
"TMEM40",1.96087,1.96087,0.31118,0.31118,2.25817202824936
"TMEM41A",18.87496,18.87496,10.53862,10.53862,1.72247287803914
"TMEM41B",18.14121,18.14121,17.23935,17.23935,1.04944584099762
"TMEM42",9.43748,9.43748,37.1341,37.1341,0.273704637057122
"TMEM43",50.55251,50.55251,16.03612,16.03612,3.02607107721711
"TMEM44",7.75493,7.75493,8.25663,8.25663,0.945801009654702
"TMEM45A",13.005,13.005,18.62929,18.62929,0.713474608607851
"TMEM45B",0.16446,0.16446,1.74261,1.74261,0.424580964847353
"TMEM47",57.43453,57.43453,8.77527,8.77527,5.977791917768
"TMEM48",8.13445,8.13445,1.90857,1.90857,3.1405295385705
"TMEM5",29.17269,29.17269,8.40185,8.40185,3.20922903471125
"TMEM50A",137.27359,137.27359,63.35617,63.35617,2.14856772862649
"TMEM50B",89.03617,89.03617,96.63164,96.63164,0.922202781803112
"TMEM51",2.27714,2.27714,5.04111,5.04111,0.542473154767915
"TMEM52",0,0,4.33577,4.33577,0.187414375057396
"TMEM52B",0.03795,0.03795,12.5924,12.5924,0.0763625261175363
"TMEM53",5.6549,5.6549,28.31734,28.31734,0.226995354967402
"TMEM54",0.88555,0.88555,75.69963,75.69963,0.0245835605725869
"TMEM55A",46.07413,46.07413,18.81599,18.81599,2.37556286615001
"TMEM55B",20.92439,20.92439,55.07879,55.07879,0.390956901887505
"TMEM56",47.73138,47.73138,2.73838,2.73838,13.0354271101386
"TMEM57",16.45866,16.45866,16.05687,16.05687,1.02355590445375
"TMEM59",426.60952,426.60952,314.76855,314.76855,1.35418653947646
"TMEM59L",0.29097,0.29097,226.58025,226.58025,0.00567259241520299
"TMEM60",22.89791,22.89791,5.39378,5.39378,3.7376809962182
"TMEM61",0,0,0.78832,0.78832,0.559184038650801
"TMEM62",14.82671,14.82671,14.10681,14.10681,1.04765400504805
"TMEM63A",36.05472,36.05472,275.26949,275.26949,0.134125270220754
"TMEM63B",13.94116,13.94116,30.80678,30.80678,0.469747644998959
"TMEM63C",0.25302,0.25302,8.40185,8.40185,0.133273770587703
"TMEM64",9.39953,9.39953,15.18557,15.18557,0.642518613802294
"TMEM65",69.00999,69.00999,9.16943,9.16943,6.8843573336952
"TMEM66",278.02614,278.02614,358.76935,358.76935,0.775569514190133
"TMEM67",75.639,75.639,4.68844,4.68844,13.4727623039005
"TMEM68",11.03148,11.03148,13.54669,13.54669,0.827093998703485
"TMEM69",67.06177,67.06177,14.58395,14.58395,4.36742738522647
"TMEM70",62.43159,62.43159,19.06494,19.06494,3.16131471113295
"TMEM71",39.59693,39.59693,2.80062,2.80062,10.6816598344481
"TMEM72",0.06325,0.06325,0.08298,0.08298,0.981781750355501
"TMEM74",1.83436,1.83436,1.63888,1.63888,1.07407688110107
"TMEM74B",3.40306,3.40306,6.72148,6.72148,0.570235239876293
"TMEM75",0,0,0,0,1
"TMEM78",0,0,0.2282,0.2282,0.814199641752158
"TMEM79",1.12592,1.12592,8.04918,8.04918,0.234929573729332
"TMEM80",22.01235,22.01235,26.84443,26.84443,0.826461522106935
"TMEM81",2.77052,2.77052,1.92931,1.92931,1.28717001614715
"TMEM82",0,0,0,0,1
"TMEM86A",2.90968,2.90968,3.1118,3.1118,0.950843912641665
"TMEM86B",0.21506,0.21506,8.96197,8.96197,0.121969851344664
"TMEM87A",40.97587,40.97587,32.34193,32.34193,1.2589514164297
"TMEM87B",7.2995,7.2995,3.73416,3.73416,1.75310931611944
"TMEM88",13.09355,13.09355,10.72532,10.72532,1.20197572432991
"TMEM88B",0,0,258.48653,258.48653,0.00385376458654713
"TMEM89",0,0,0,0,1
"TMEM8A",4.8579,4.8579,25.66195,25.66195,0.219710111225923
"TMEM8B",3.55487,3.55487,28.5248,28.5248,0.154272679239148
"TMEM8C",0,0,0.37342,0.37342,0.728109391154927
"TMEM9",11.34775,11.34775,74.51714,74.51714,0.163509237770392
"TMEM91",2.26449,2.26449,19.81177,19.81177,0.156857874174085
"TMEM92",0,0,0.60161,0.60161,0.624371725950762
"TMEM95",0,0,0,0,1
"TMEM97",6.12298,6.12298,12.34346,12.34346,0.533818065179496
"TMEM97P1",0,0,0,0,1
"TMEM97P2",0,0,0,0,1
"TMEM98",11.411,11.411,120.19831,120.19831,0.102402417987512
"TMEM99",15.4466,15.4466,6.74222,6.74222,2.12427443291459
"TMEM9B",101.49719,101.49719,48.58551,48.58551,2.06707947543546
"TMF1",13.67549,13.67549,11.36843,11.36843,1.18652812038391
"TMIE",0.10121,0.10121,13.15252,13.15252,0.0778101709094917
"TMIGD1",0,0,0,0,1
"TMIGD2",0,0,3.07031,3.07031,0.24568153285622
"TMLHE",43.0759,43.0759,8.81676,8.81676,4.48986223560523
"TMOD1",141.30918,141.30918,10.72532,10.72532,12.1369122548468
"TMOD2",5.61695,5.61695,33.17175,33.17175,0.193638019709263
"TMOD3",75.04441,75.04441,11.59663,11.59663,6.03688526216933
"TMOD4",0.25302,0.25302,1.28621,1.28621,0.548077385716973
"TMPO",29.84318,29.84318,13.09029,13.09029,2.18896701203453
"TMPOP1",0,0,0,0,1
"TMPPE",0.32892,0.32892,0.12447,0.12447,1.18181899027987
"TMPRSS11A",0,0,0,0,1
"TMPRSS11B",0,0,0.10373,0.10373,0.906018682105225
"TMPRSS11BNL",0,0,0,0,1
"TMPRSS11CP",0.16446,0.16446,0,0,1.16446
"TMPRSS11D",0,0,0,0,1
"TMPRSS11E",0,0,0.12447,0.12447,0.889307851699023
"TMPRSS11F",0,0,0,0,1
"TMPRSS11GP",0,0,0.24894,0.24894,0.800678975771454
"TMPRSS12",0,0,0.24894,0.24894,0.800678975771454
"TMPRSS13",0.0253,0.0253,1.57664,1.57664,0.397921323894685
"TMPRSS15",0.8476,0.8476,0,0,1.8476
"TMPRSS2",0,0,1.03727,1.03727,0.490852955180217
"TMPRSS3",0.0759,0.0759,0.24894,0.24894,0.861450510032508
"TMPRSS4",0.29097,0.29097,0.43565,0.43565,0.899223348309128
"TMPRSS5",0.0759,0.0759,68.43877,68.43877,0.0154942260642002
"TMPRSS6",0,0,0,0,1
"TMPRSS7",0,0,0.18671,0.18671,0.842665857707443
"TMPRSS9",0.10121,0.10121,0,0,1.10121
"TMSB10",551.08052,551.08052,2836.85857,2836.85857,0.194541238184396
"TMSB10P1",0,0,0,0,1
"TMSB10P2",0,0,0,0,1
"TMSB15A",1.12592,1.12592,0.99577,0.99577,1.06521292533709
"TMSB15B",0.8223,0.8223,4.33577,4.33577,0.341525215667092
"TMSB4X",1828.25241,1828.25241,2813.18817,2813.18817,0.650010695624522
"TMSB4XP1",0,0,152.39503,152.39503,0.00651911603654956
"TMSB4XP2",0,0,0,0,1
"TMSB4XP3",0,0,0,0,1
"TMSB4XP4",4.0609,4.0609,14.93662,14.93662,0.317564201191972
"TMSB4XP6",0,0,53.89631,53.89631,0.0182161606126168
"TMSB4XP8",14.24478,14.24478,196.9352,196.9352,0.077019044616622
"TMSB4Y",0,0,0,0,1
"TMTC1",29.18534,29.18534,9.31464,9.31464,2.92645598876936
"TMTC2",3.92174,3.92174,77.91938,77.91938,0.0623641493382234
"TMTC3",5.12356,5.12356,3.15329,3.15329,1.47438777451129
"TMTC4",6.00912,6.00912,48.83445,48.83445,0.140648085812124
"TMUB1",1.18917,1.18917,70.32659,70.32659,0.0306922004823166
"TMUB2",15.19358,15.19358,43.06726,43.06726,0.367474174704758
"TMX1",13.68814,13.68814,11.05725,11.05725,1.21819983827158
"TMX2",148.24181,148.24181,53.52289,53.52289,2.7372321973395
"TMX2-CTNND1",0,0,13.81637,13.81637,0.0674929149312551
"TMX3",38.02824,38.02824,10.70458,10.70458,3.33444173135644
"TMX4",65.78404,65.78404,17.2601,17.2601,3.65737537034299
"TNC",0.97411,0.97411,12.86209,12.86209,0.142410704302165
"TNF",0.0506,0.0506,0.31118,0.31118,0.801262984487256
"TNFAIP1",23.36599,23.36599,29.64504,29.64504,0.795103873253225
"TNFAIP2",13.16946,13.16946,37.98466,37.98466,0.363462449076124
"TNFAIP3",4.52898,4.52898,5.97465,5.97465,0.792725082979074
"TNFAIP6",4.07355,4.07355,5.45602,5.45602,0.785863426693226
"TNFAIP8",11.92968,11.92968,2.44795,2.44795,3.74996157136849
"TNFAIP8L1",2.93498,2.93498,11.40992,11.40992,0.317083430030169
"TNFAIP8L2",1.06267,1.06267,3.1118,3.1118,0.501646480859964
"TNFAIP8L3",2.70727,2.70727,9.12794,9.12794,0.366043835172799
"TNFRSF10A",1.78376,1.78376,0.72609,0.72609,1.61275483897132
"TNFRSF10B",14.73816,14.73816,8.63005,8.63005,1.63427604218047
"TNFRSF10C",0.0506,0.0506,0.58087,0.58087,0.664570774320469
"TNFRSF10D",2.4163,2.4163,1.03727,1.03727,1.67690095078217
"TNFRSF11A",0.7717,0.7717,1.28621,1.28621,0.774950682570717
"TNFRSF11B",12.2586,12.2586,1.05801,1.05801,6.44243711157866
"TNFRSF12A",18.77375,18.77375,7.9662,7.9662,2.20536570676541
"TNFRSF13B",0,0,0.85056,0.85056,0.54037696697216
"TNFRSF13C",0,0,1.57664,1.57664,0.388102334823646
"TNFRSF14",2.65666,2.65666,29.52057,29.52057,0.119809689006464
"TNFRSF17",0,0,0,0,1
"TNFRSF18",0,0,2.11602,2.11602,0.320922202039782
"TNFRSF19",34.77699,34.77699,1.45217,1.45217,14.5899305513076
"TNFRSF1A",54.86642,54.86642,35.66118,35.66118,1.52385766088271
"TNFRSF1B",4.40247,4.40247,12.07377,12.07377,0.413229695795474
"TNFRSF21",9.47543,9.47543,28.04766,28.04766,0.36062904894921
