"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"CPS1",185,0.160453,141,0.131261,196,0.178718,0.156810666667,"Cps1",0,0,0.007477,0,0,1,0.00249233333333333,1.1539346768075
"CPSF1",1171,12.7009,1306,15.2041,1103,12.5774,13.4941333333,"Cpsf1",16.416727,26.583879,11.154907,361,345,303,18.0518376666667,0.760773505784123
"CPSF2",940,3.27276,1238,4.62644,1487,5.44296,4.44738666667,"Cpsf2",1.49241,1.63477,1.945915,280,285,263,1.69103166666667,2.02427445731903
"CPSF3",558,1.97129,619,2.34718,758,2.81529,2.37792,"Cpsf3",36.567122,20.942759,36.094134,290,294,259,31.2013383333333,0.104899987852472
"CPSF4",593,5.61438,599,6.08716,804,8.00279,6.56811,"Cpsf4",0.759016,1.282787,1.232336,43,49,38,1.09137966666667,3.61871644858362
"CPSF4L",77,0.967479,76,1.02496,70,0.92467,0.972369666667,"Cpsf4l",0.031096,0.090682,0,1,3,0,0.0405926666666667,1.89542914326419
"CPSF6",1384,6.9498,2195,11.8307,1740,9.18594,9.32214666667,"Cpsf6",4.619648,3.215673,4.153831,435,355,362,3.996384,2.06592340914349
"CPSF7",2031,12.9537,2202,15.0744,2241,15.0267,14.3516,"Cpsf7",3.699239,4.046563,4.613908,321,297,248,4.11990333333333,2.99841598571848
"CPT1A",4773,9.28644,3942,8.23218,2973,6.08122,7.86661333333,"Cpt1a",7.671139,5.314495,8.402035,577,486,446,7.129223,1.09070858719585
"CPT1B",460,8.36664,209,4.08019,243,4.64662,5.69781666667,"Cpt1b",187.517127,187.372896,245.584795,5830,5540,5052,206.824939333333,0.0322281661101668
"CPT1C",437,3.34341,379,3.11235,240,1.93045,2.79540333333,"Cpt1c",0.317504,0.36426,0.246364,25,18,16,0.309376,2.89863517685523
"CPT2",436,4.37601,514,5.53726,523,5.51863,5.14396666667,"Cpt2",50.720661,49.045567,51.40209,2222,1935,1730,50.3894393333333,0.119556989653412
"CPTP",388,16.3688,473,21.4184,225,9.97944,15.9222133333,"Cptp",1.149138,1.894699,1.097198,53,50,36,1.380345,7.10914314240163
"CPVL",868,0.757372,777,0.727698,1499,1.37508,0.953383333333,"Cpvl",0,0,0,0,0,0,0,1.953383333333
"CPXCR1",1,0.0231053,1,0.0248,1,0.0242912,0.0240655,"Cpxcr1",0,0,0,0,0,0,0,1.0240655
"CPXM1",30,0.79966,19,0.543598,212,5.94098,2.42807933333,"Cpxm1",0.702971,0.824446,1.244693,43,51,33,0.924036666666667,1.78171206023274
"CPXM2",581,0.433648,553,0.443024,629,0.493572,0.456748,"Cpxm2",7.117695,9.995357,7.370068,237,343,170,8.16104,0.159015570284597
"CPZ",48,0.30943,76,0.525866,88,0.596406,0.477234,"Cpz",0.027237,0.014074,0,2,1,0,0.0137703333333333,1.45716830669405
"CR1",277,0.332317,198,0.254964,637,0.803434,0.463571666667,"Cr1l",21.396993,16.000063,24.604851,587,520,416,20.6673023333333,0.0675474797993388
"CR2",2,0.00979639,1,0.00525747,3,0.0154488,0.0101675533333,"Cr2",2.792699,0.015955,0.156331,8,3,4,0.988328333333333,0.508048663994947
"CRABP1",4,0.0887586,2,0.0476344,38,0.886486,0.340959666667,"Crabp1",0,0,0,0,0,0,0,1.340959666667
"CRABP2",47,1.32199,65,1.96238,82,2.42483,1.90306666667,"Crabp2",0,0,0,0,0,0,0,2.90306666667
"CRACD",518,0.32371,536,0.359527,495,0.325214,0.336150333333,"Cracd",0.126815,0.633467,0.456905,15,15,13,0.405729,0.95050349913319
"CRACR2A",148,0.163449,174,0.206257,301,0.349482,0.239729333333,"Cracr2a",0.294491,0.14922,0.181291,40,36,29,0.208334,1.02598233049223
"CRACR2B",86,2.5691,99,3.17438,73,2.29268,2.67872,"Cracr2b",7.0364,6.653637,8.401377,87,103,77,7.36380466666667,0.439838105576673
"CRADD",357,0.286792,453,0.390605,382,0.322627,0.333341333333,"Cradd",1.864596,2.128338,2.310753,74,79,61,2.101229,0.429939657256204
"CRAMP1",944,2.51458,1018,2.91059,1025,2.87048,2.76521666667,"Cramp1l",0.87748,0.825335,0.795571,226,202,146,0.832795333333333,2.05435740597514
"CRAT",1575,16.7816,1350,15.4393,1059,11.8628,14.6945666667,"Crat",313.392745,293.316307,335.748152,5516,5119,4772,314.152401333333,0.0497999272742333
"CRB1",109,0.0905685,164,0.146263,123,0.107447,0.1147595,"Crb1",0.117952,0.058124,0.052621,9,10,4,0.0762323333333333,1.03579818731829
"CRB2",115,0.831728,113,0.877208,98,0.745157,0.818031,"Crb2",0.004602,0.009044,0,1,2,0,0.00454866666666667,1.8097988283959
"CRB3",2,0.101422,4,0.217722,6,0.319883,0.213009,"Crb3",0.151707,0,0,3,0,0,0.050569,1.15462097206371
"CRBN",4184,20.8245,4790,25.5894,4064,21.2655,22.5598,"Crbn",5.931386,5.359287,5.836364,329,272,247,5.70901233333333,3.51166443426322
"CRCP",587,2.56595,662,3.10606,675,3.10208,2.92469666667,"Crcp",2.521223,3.284015,2.280594,64,77,66,2.69527733333333,1.06208446961942
"CREB1",1155,2.64619,1288,3.16735,1576,3.79607,3.20320333333,"Creb1",1.283313,1.343809,1.563246,323,277,247,1.39678933333333,1.75368075736736
"CREB3",630,25.0024,658,28.029,555,23.1564,25.3959333333,"Creb3",8.276286,14.256414,13.254913,162,168,111,11.9292043333333,2.0415744583174
"CREB3L1",408,1.62927,200,0.857241,305,1.28047,1.25566033333,"Creb3l1",0.335459,0.407176,0.354275,27,33,20,0.365636666666667,1.65172800964385
"CREB3L2",2234,3.07044,2771,4.08785,3255,4.70334,3.95387666667,"Creb3l2",2.535794,2.101546,2.463195,449,364,355,2.366845,1.47137057591603
"CREB3L3",21,0.188874,20,0.193073,21,0.198568,0.193505,"Creb3l3",0,0,0.01849,0,0,1,0.00616333333333333,1.18619409042269
"CREB3L4",142,3.63317,162,4.4489,140,3.76585,3.94930666667,"Creb3l4",0.024137,0.025969,0,1,1,0,0.016702,4.86800130881025
"CREB5",283,0.0938896,477,0.16986,451,0.157306,0.140351866667,"Creb5",0.967552,1.146407,0.403643,104,81,48,0.839200666666667,0.620025801063759
"CREBBP",1684,1.88982,1943,2.3404,2187,2.58026,2.27016,"Crebbp",3.522684,2.439253,4.275492,291,286,248,3.41247633333333,0.741116722892338
"CREBL2",2212,11.6109,2424,13.657,2689,14.8392,13.3690333333,"Crebl2",1.88013,1.841009,1.678379,216,170,139,1.79983933333333,5.13209210336831
"CREBRF",995,2.09598,1599,3.61536,1369,3.03183,2.91439,"Crebrf",5.553179,6.684082,5.627012,589,478,367,5.95475766666667,0.562836289575007
"CREBZF",1617,12.1757,2126,17.1825,2222,17.59,15.6494,"Crebzf",5.414072,3.176835,2.909719,172,137,85,3.833542,3.44455473853336
"CREG1",1444,10.2177,1662,12.6229,2648,19.699,14.1798666667,"Creg1",39.827706,36.769847,49.297478,1063,1078,871,41.9650103333333,0.353307646127181
"CREG2",522,2.17364,513,2.29285,498,2.18014,2.21554333333,"Creg2",0.004909,0,0,1,0,0,0.00163633333333333,3.21029022841956
"CRELD1",2117,31.9046,1956,31.6404,1171,18.5536,27.3662,"Creld1",4.725417,5.668921,4.522749,282,299,198,4.97236233333333,4.74957787501953
"CRELD2",455,8.47963,395,7.90138,568,11.1289,9.16997,"Creld2",2.162363,2.346827,1.546391,88,90,45,2.018527,3.36918304855315
"CREM",836,1.69493,686,1.49283,1034,2.20396,1.79724,"Crem",3.260061,3.386389,3.001158,76,56,44,3.21586933333333,0.663502537396795
"CRHBP",50,0.310698,34,0.226771,27,0.176388,0.237952333333,"Crhbp",0,0,0,0,0,0,0,1.237952333333
"CRHR1",84,0.284675,52,0.189153,66,0.235154,0.236327333333,"Crhr1",0,0,0,0,0,0,0,1.236327333333
"CRHR2",43,0.155891,54,0.210129,61,0.232498,0.199506,"Crhr2",2.926311,3.189969,3.708764,219,222,217,3.27501466666667,0.2805852361988
"CRIM1",1507,1.34764,1874,1.79874,2587,2.43217,1.85951666667,"Crim1",5.715437,8.770457,8.343676,565,523,488,7.60985666666667,0.332121285798021
"CRIP1",121,8.03443,279,19.8845,121,8.44682,12.1219166667,"Crip1",34.796577,34.813521,33.166767,263,245,175,34.258955,0.372158411010763
"CRIP2",2242,54.3314,2557,66.51,1537,39.1586,53.3333333333,"Crip2",360.703927,347.979242,415.408543,7366,7310,6651,374.697237333333,0.144619996992667
"CRIP3",46,0.88426,36,0.742789,24,0.485033,0.704027333333,"Crip3",0.213682,0.226501,0.15457,2,1,2,0.198251,1.42209548194243
"CRIPT",544,6.90621,603,8.21672,587,7.8346,7.65251,"Cript",9.919442,9.673601,10.529708,255,221,167,10.040917,0.783676754385528
"CRISP1",0,0,0,0,1,0.00428725,0.00142908333333,"Crisp4",0,0,0,0,0,0,0,1.00142908333333
"CRISP2",1,0.00822771,1,0.0088312,3,0.0259501,0.0143363366667,"Crisp2",0,0,0,0,0,0,0,1.0143363366667
"CRISPLD1",169,0.589846,532,1.99298,328,1.20355,1.26212533333,"Crispld1",0.202415,0.189539,0.34672,22,16,20,0.246224666666667,1.81518260217125
"CRISPLD2",1255,2.17542,2649,4.92858,1948,3.54998,3.55132666667,"Crispld2",3.894602,4.552309,4.770093,535,585,484,4.405668,0.841954531182825
"CRK",2884,11.8621,3129,13.8138,2726,11.7878,12.4879,"Crk",9.228364,10.021548,10.532983,1038,1019,853,9.92763166666667,1.23429306655193
"CRKL",1670,8.02805,1934,9.97908,1756,8.87475,8.96062666667,"Crkl",2.58292,2.382521,3.645868,428,344,338,2.87043633333333,2.57351518248373
"CRLF1",3456,16.9968,3610,19.0564,3407,17.6158,17.8896666667,"Crlf1",0.092871,0.631856,0,1,5,0,0.241575666666667,15.214269394804
"CRLF2",66,0.458,48,0.357522,19,0.138616,0.318046,"Crlf2",0.993686,1.217093,1.165844,23,35,14,1.125541,0.620099071248214
"CRLF3",1035,3.26939,1062,3.60073,1253,4.16117,3.67709666667,"Crlf3",1.92007,2.293005,2.396081,100,73,64,2.203052,1.4602000425438
"CRLS1",582,2.99387,638,3.52266,808,4.36978,3.62877,"Crls1",3.780873,3.767118,4.212474,157,119,131,3.920155,0.940777272260731
"CRMP1",2661,3.20596,2508,3.24326,2392,3.02979,3.15967,"Crmp1",0.062209,0.203852,0.04382,6,7,3,0.103293666666667,3.77022920159365
"CRNKL1",620,4.99624,675,5.83842,711,6.02364,5.61943333333,"Crnkl1",2.148434,2.104822,2.980436,237,217,179,2.41123066666667,1.94048247689983
"CROCC",130,0.0976006,154,0.1241,151,0.119186,0.113628866667,"Crocc",0.416024,0.639095,0.735605,40,69,49,0.596908,0.697365700883833
"CROCC2",81,0.162685,146,0.314742,219,0.462427,0.313284666667,"Crocc2",0.003875,0.016246,0.00545,1,4,1,0.00852366666666667,1.3021852734578
"CROT",539,1.74005,652,2.25923,642,2.17894,2.05940666667,"Crot",4.151494,4.467755,5.019034,378,389,319,4.54609433333333,0.551632641421594
"CRP",1,0.0759231,2,0.162984,1,0.0798201,0.1062424,"Crp",0,0.046989,0,0,2,0,0.015663,1.08918253397042
"CRPPA",188,0.0983295,219,0.122945,202,0.111075,0.110783166667,"Crppa",0.483429,0.670054,0.553808,41,43,30,0.569097,0.707912364032944
"CRTAC1",1586,1.67083,1666,1.88385,1404,1.55502,1.70323333333,"Crtac1",0,0,0,0,0,0,0,2.70323333333
"CRTAM",27,0.138147,23,0.126312,37,0.199029,0.154496,"Crtam",0,0.019195,0,0,1,0,0.00639833333333333,1.1471561128049
"CRTAP",2730,14.1124,3026,16.7899,3013,16.3748,15.7590333333,"Crtap",7.374706,6.94399,7.086518,168,172,133,7.13507133333333,2.06009666622468
"CRTC1",637,1.12799,605,1.14991,552,1.02765,1.10185,"Crtc1",0.663839,1.544454,2.940244,126,121,119,1.716179,0.773826025457085
"CRTC2",721,11.5062,708,12.1274,720,12.08,11.9045333333,"Crtc2",2.254642,2.330783,2.004287,131,129,103,2.19657066666667,4.03699297746377
"CRTC3",1244,1.88286,1475,2.39624,1670,2.65737,2.31215666667,"Crtc3",2.365955,1.264884,2.990554,166,140,119,2.207131,1.03274754497711
"CRX",5,0.0370879,5,0.0398083,10,0.0779832,0.0516264666667,"Crx",0.010812,0.011577,0.045282,1,1,3,0.022557,1.0284282114999
"CRY1",266,0.454758,409,0.750521,302,0.542806,0.582695,"Cry1",1.423032,8.520729,11.835999,85,115,94,7.25992,0.191611419965327
"CRY2",1162,5.61845,1051,5.45449,883,4.48858,5.18717333333,"Cry2",2.961236,3.327444,3.204034,402,423,315,3.164238,1.48578763589641
"CRYAB",5600,64.5369,5505,68.0954,4010,48.585,60.4057666667,"Cryab",628.167869,660.182314,737.12687,11361,11045,8765,675.159017666667,0.0908155700985886
"CRYBA1",4,0.0915614,5,0.122846,14,0.336913,0.183773466667,"Cryba1",0.026814,0.028779,0.037214,1,1,1,0.0309356666666667,1.14825153978279
"CRYBA2",57,3.07911,51,2.95707,29,1.64697,2.56105,"Cryba2",0,0,0,0,0,0,0,3.56105
"CRYBA4",4,0.0802568,1,0.0215359,6,0.126564,0.0761189,"Cryba4",1.377622,2.150978,1.936947,26,38,26,1.821849,0.381352404044299
"CRYBB1",67,0.624258,52,0.520036,69,0.675891,0.606728333333,"Crybb1",0.478942,0.34248,0.5374,11,7,9,0.452940666666667,1.10584579962178
"CRYBB2",43,0.389085,38,0.369062,59,0.561262,0.439803,"Crybb2",0,0,0,0,0,0,0,1.439803
"CRYBB3",18,0.419166,43,1.07479,24,0.587574,0.693843333333,"Crybb3",0.372356,0.193096,0.52891,4,5,6,0.364787333333333,1.24110423064668
"CRYBG1",406,0.335879,379,0.336539,1146,0.996733,0.556383666667,"Crybg1",0.289164,0.460047,0.304742,63,97,47,0.351317666666667,1.15175262268729
"CRYBG2",10,0.0455147,7,0.0341972,13,0.0622061,0.047306,"Crybg2",0,0.012276,0.020622,0,1,1,0.010966,1.03594581815808
"CRYBG3",2214,3.14525,2773,4.22832,2622,3.91605,3.76320666667,"Crybg3",8.874507,9.097127,9.746182,877,849,754,9.239272,0.465189973141645
"CRYGN",77,1.12295,55,0.860941,32,0.490635,0.824842,"Crygn",0,0,6.513781,0,0,2,2.17126033333333,0.575431156130249
"CRYGS",259,5.47653,310,7.0357,276,6.13554,6.21592333333,"Crygs",0,0,0,0,0,0,0,7.21592333333
"CRYL1",528,0.754788,638,0.978931,697,1.04752,0.927079666667,"Cryl1",1.371666,1.04837,3.05149,43,36,48,1.823842,0.682431831053933
"CRYM",43,0.116992,21,0.0613264,28,0.0800911,0.0861365,"Crym",0.024374,0,0,1,0,0,0.00812466666666667,1.07738312126741
"CRYZ",644,4.02858,1315,8.82943,1201,7.89855,6.91885333333,"Cryz",3.644833,3.069561,3.999056,93,84,83,3.57115,1.73235473203242
"CRYZL1",851,2.72357,1122,3.85427,1009,3.39499,3.32427666667,"Cryzl1",8.358328,8.077043,9.28017,170,142,133,8.571847,0.451770349721428
"CSAD",1381,10.3781,1210,9.75999,1304,10.3024,10.14683,"Csad",8.579905,4.646227,6.261931,93,79,69,6.496021,1.48703292053211
"CSDC2",928,9.68926,816,9.14478,515,5.65312,8.16238666667,"Csdc2",7.098656,6.405743,7.425098,598,482,451,6.976499,1.14867270298285
"CSDE1",14109,59.018,15448,69.3587,14569,64.0702,64.1489666667,"Csde1",65.938363,66.28469,74.964748,5930,5329,4645,69.0626003333333,0.929867951756629
"CSE1L",3436,11.8361,3562,13.1701,2911,10.5423,11.8495,"Cse1l",11.577184,10.11473,14.559856,689,667,580,12.0839233333333,0.982083100965893
"CSF1",1048,8.82293,1049,9.47911,1222,10.8159,9.70598,"Csf1",6.148341,5.853725,6.441789,493,419,383,6.14795166666667,1.49776894126546
"CSF1R",6038,17.5566,5502,17.1715,9187,28.0839,20.9373333333,"Csf1r",4.625152,4.049115,3.418894,391,468,323,4.03105366666667,4.36038547524273
"CSF2RA",521,2.18888,532,2.39904,690,3.0477,2.54520666667,"Csf2ra",1.537261,2.763528,1.361185,39,44,12,1.88732466666667,1.22785175757974
"CSF2RB",144,0.938261,94,0.6574,368,2.52085,1.37217033333,"Csf2rb2",0.107217,0.055582,0.146606,15,4,2,0.103135,2.15038987370539
"CSF2RB",144,0.938261,94,0.6574,368,2.52085,1.37217033333,"Csf2rb",0.137918,0.101222,0.213032,23,16,24,0.150724,2.06145898871493
"CSF3R",625,6.33482,573,6.23375,1065,11.3486,7.97239,"Csf3r",0.244103,0.258417,0.224759,18,9,8,0.242426333333333,7.2216676025594
"CSGALNACT2",1095,4.08245,1079,4.31786,2487,9.74812,6.04947666667,"Csgalnact2",2.636311,2.879468,3.492958,243,250,223,3.00291233333333,1.76108694861167
"CSH1",0,0,1,0.106967,0,0,0.0356556666667,"Gh",0,0,0,0,0,0,0,1.0356556666667
"CSH2",0,0,2,0.21369,0,0,0.07123,"Gh",0,0,0,0,0,0,0,1.07123
"CSHL1",3,0.0567082,2,0.0405784,1,0.019873,0.0390532,"Gh",0,0,0,0,0,0,0,1.0390532
"CSK",621,5.1314,581,5.15301,707,6.14189,5.47543333333,"Csk",6.603396,5.489424,5.213213,201,167,121,5.76867766666667,0.956676274484041
"CSMD1",753,0.0638702,881,0.0802084,669,0.0596579,0.0679121666667,"Csmd1",0.03148,0.014713,0.012657,5,6,3,0.0196166666666667,1.04736633048371
"CSMD2",673,0.180369,718,0.206544,618,0.17413,0.187014333333,"Csmd2",0,0.008777,0.026033,0,1,3,0.0116033333333333,1.17339899367637
"CSMD3",332,0.0477755,445,0.0687334,365,0.0552203,0.0572430666667,"Csmd3",0.049616,0,0.157523,3,0,3,0.0690463333333333,0.988959069126751
"CSN1S1",0,0,0,0,1,0.0118441,0.00394803333333,"Csn1s1",0,0,0,0,0,0,0,1.00394803333333
"CSNK1A1",6318,18.8707,6975,22.3611,7436,23.35,21.5272666667,"Csnk1a1",28.481966,28.748759,35.464838,2139,2047,1700,30.898521,0.706216650819014
"CSNK1D",4579,23.0473,4226,22.8307,4186,22.1506,22.6762,"Csnk1d",20.994796,18.332291,25.542495,628,610,475,21.623194,1.0465454170618
"CSNK1E",2111,13.4624,1979,13.5463,1727,11.5789,12.8625333333,"Csnk1e",10.273699,14.226973,14.61915,399,407,328,13.0399406666667,0.987364096645518
"CSNK1G1",548,0.502154,553,0.543903,630,0.606925,0.550994,"Csnk1g1",1.187792,0.825195,0.959335,119,91,84,0.990774,0.779090946536372
"CSNK1G2",1222,5.31487,1095,5.11182,1263,5.77514,5.40061,"Csnk1g2",66.187425,50.397909,77.10328,733,735,608,64.5628713333333,0.0976255290507055
"CSNK1G3",1114,1.85441,1233,2.20305,1122,1.96359,2.00701666667,"Csnk1g3",2.320613,3.158926,2.962387,150,128,94,2.81397533333333,0.788420585835811
"CSNK2A1",2470,6.04876,2515,6.61071,2785,7.17023,6.6099,"Csnk2a1",14.3967,19.569406,12.721151,1475,1447,1194,15.562419,0.459467907435502
"CSNK2A2",1060,4.60649,1114,5.19625,1172,5.35464,5.05246,"Csnk2a2",4.499289,5.688763,6.211437,187,214,148,5.46649633333333,0.935972076377888
"CSNK2A3",493,65.7958,518,74.2029,547,76.7496,72.2494333333,"Csnk2a1",14.3967,19.569406,12.721151,1475,1447,1194,15.562419,4.42262892475429
"CSNK2B",926,31.6702,1029,37.7742,955,34.3385,34.5943,"Csnk2b",48.671454,48.4439,56.542073,486,480,392,51.2191423333333,0.681633179127856
"CSNKA2IP",0,0,8,0.0116126,6,0.00853077,0.00671445666667,"Csnka2ip",0,0,0,0,0,0,0,1.00671445666667
"CSPG4",784,3.55502,1181,5.74799,1039,4.95312,4.75204333333,"Cspg4",1.381174,1.125891,1.772381,295,263,291,1.426482,2.37052792204105
"CSPG5",1013,9.5376,1007,10.1765,653,6.4637,8.72593333333,"Cspg5",0.044528,0.020181,0.015883,7,5,3,0.026864,9.47149119389715
"CSPP1",750,0.978977,825,1.15586,816,1.1198,1.084879,"Cspp1",3.017465,2.749557,1.92623,48,43,43,2.56441733333333,0.584914392740394
"CSRNP1",827,11.3689,518,7.64335,388,5.60768,8.20664333333,"Csrnp1",2.090396,2.428645,2.404901,121,103,90,2.30798066666667,2.78316116720452
"CSRNP2",1210,9.41166,1288,10.7532,1279,10.459,10.2079533333,"Csrnp2",0.396896,0.321167,0.357059,57,45,36,0.358374,8.25100696369336
"CSRNP3",360,0.286182,658,0.561444,360,0.300871,0.382832333333,"Csrnp3",0.026899,0.021722,0.028823,6,4,4,0.0258146666666667,1.34803330296148
"CSRP1",7592,51.1558,9632,69.6619,9164,64.9175,61.9117333333,"Csrp1",6.806449,5.955023,7.69842,392,320,317,6.819964,8.04501572300077
"CSRP2",241,2.07248,215,1.98451,277,2.50433,2.18710666667,"Csrp2",9.248708,7.667548,4.878524,63,55,55,7.26492666666667,0.385618263199351
"CSRP3",2,0.0122415,2,0.0131394,3,0.0193048,0.0148952333333,"Csrp3",376.997236,389.019957,381.127131,7512,7514,6250,382.381441333333,0.00264722055873042
"CST3",7029,104.347,7881,125.577,6469,100.963,110.295666667,"Cst3",197.392825,286.173979,226.684582,2629,3063,2295,236.750462,0.468119665176508
"CST3",7029,104.347,7881,125.577,6469,100.963,110.295666667,"Cst10",0.085024,0.091129,0,1,1,0,0.0587176666666667,105.123084436109
"CST6",1,0.116622,3,0.375526,0,0,0.164049333333,"Cst6",3.748223,3.058878,3.880095,25,17,15,3.56239866666667,0.255139767122426
"CST7",31,0.508037,18,0.316626,60,1.03377,0.619477666667,"Cst7",0.038454,0.08283,0,1,2,0,0.040428,1.55654948412288
"CSTB",1366,60.6452,1292,61.5671,1299,60.6308,60.9477,"Cstb",4.780739,5.059379,5.261324,59,58,47,5.033814,10.2667566484482
"CSTF1",302,3.77066,379,5.07914,410,5.38186,4.74388666667,"Cstf1",1.962674,1.444447,1.948612,121,134,113,1.78524433333333,2.06225593852867
"CSTF2",261,2.21622,281,2.56105,251,2.2407,2.33932333333,"Cstf2",3.183083,3.117203,2.828525,157,161,140,3.042937,0.825964721520518
"CSTF2T",566,24.0583,603,27.511,818,36.5544,29.3745666667,"Cstf2t",2.081073,2.540371,2.531884,297,333,259,2.38444266666667,8.97476177270152
"CSTF3",2287,4.69028,2151,4.73493,2268,4.89005,4.77175333333,"Cstf3",1.795816,1.745906,1.998841,97,96,71,1.84685433333333,2.02741435195666
"CSTL1",1,0.0333014,0,0,0,0,0.0111004666667,"Cstl1",0,0,0,0,0,0,0,1.0111004666667
"CTAGE1",12,0.485612,17,0.738411,26,1.10617,0.776731,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.0275169725562158
"CTAGE15",77,5.19978,34,2.46441,28,1.98788,3.21735666667,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.0653159581594131
"CTAGE4",111,7.49289,47,3.40537,36,2.55486,4.48437333333,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.0849387726680535
"CTAGE6",71,4.75599,33,2.37267,29,2.0423,3.05698666667,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.0628322412158576
"CTAGE8",109,7.35788,44,3.18801,35,2.48389,4.34326,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.0827532917367489
"CTAGE9",98,6.64358,32,2.32845,25,1.78178,3.58460333333,"Mia2",68.660433,56.401574,65.643641,831,700,628,63.5685493333333,0.071003660151355
"CTBP1",2527,11.4648,2367,11.5266,2371,11.3092,11.4335333333,"Ctbp1",32.652546,38.797997,45.520251,1090,1126,997,38.9902646666667,0.310914004619324
"CTBP2",2000,1.97563,2036,2.15871,2091,2.17154,2.10196,"Ctbp2",6.484733,5.036004,6.388184,165,149,123,5.96964033333333,0.445067442743698
"CTBS",393,2.76062,446,3.36272,782,5.7751,3.96614666667,"Ctbs",0.757925,0.674148,0.962779,48,46,57,0.798284,2.76160309865961
"CTC1",594,4.46482,679,5.47807,618,4.88364,4.94217666667,"Ctc1",3.63912,3.152313,3.070494,133,119,125,3.287309,1.38599216120648
"CTCF",872,1.98586,959,2.34419,980,2.34637,2.22547333333,"Ctcf",5.084718,4.14218,5.924466,430,415,381,5.05045466666667,0.533096025179705
"CTCFL",0,0,1,0.00631633,3,0.0185602,0.00829217666667,"Ctcfl",0.076656,0.040538,0.039486,8,4,3,0.0522266666666667,0.958246173194625
"CTDNEP1",1093,21.4522,1166,24.5635,1194,24.6374,23.5510333333,"Ctdnep1",39.627857,43.601183,48.83614,635,741,578,44.0217266666667,0.545315232244906
"CTDP1",443,1.0074,422,1.03004,545,1.30297,1.11347,"Ctdp1",1.022649,0.810964,0.922244,89,95,73,0.918619,1.10155794349999
"CTDSP1",1129,25.6616,1274,31.0814,1477,35.2946,30.6792,"Ctdsp1",18.054849,19.470911,19.543628,1013,985,846,19.0231293333333,1.58213031902373
"CTDSP2",3213,20.942,3443,24.0871,4100,28.095,24.3747,"Ctdsp2",9.322963,8.752032,11.062026,1426,1237,1134,9.71234033333333,2.36873542199198
"CTDSPL",2257,3.21638,2127,3.25344,2201,3.29757,3.25579666667,"Ctdspl",1.084184,0.585372,0.647539,74,77,61,0.772365,2.40119651802535
"CTDSPL2",581,1.00082,773,1.42922,970,1.75667,1.39557,"Ctdspl2",1.815595,1.011359,1.973937,123,103,107,1.600297,0.92126783978907
"CTF1",50,1.2561,72,1.94146,75,1.98087,1.72614333333,"Ctf1",2.148231,6.882126,6.012721,39,42,51,5.01435933333333,0.453272440544235
"CTH",153,0.933469,147,0.962645,158,1.01345,0.969854666667,"Cth",0.476587,0.293749,0.837492,15,13,16,0.535942666666667,1.28250533657094
"CTHRC1",47,0.71698,47,0.769569,161,2.5821,1.35621633333,"Cthrc1",0.100849,0,0,1,0,0,0.0336163333333333,2.2795850426738
"CTIF",4929,2.65616,4649,2.68903,3482,1.9727,2.43929666667,"Ctif",0.645411,0.629905,0.855796,137,128,129,0.710370666666667,2.01084872051321
"CTLA4",5,0.141,2,0.0605368,18,0.533654,0.2450636,"Ctla4",0.954324,0.742959,0.678199,36,17,14,0.791827333333333,0.694856907715438
"CTNNA1",8664,4.6706,10678,6.17852,10488,5.94409,5.59773666667,"Ctnna1",62.69115,67.252272,70.570563,5203,5048,4416,66.837995,0.0972572474565323
"CTNNA2",468,0.0558605,490,0.0627763,419,0.0525789,0.0570719,"Ctnna2",0,0,0,0,0,0,0,1.0570719
"CTNNA3",975,0.0954949,1112,0.116902,1040,0.107089,0.1064953,"Ctnna3",3.449986,3.041179,3.896142,378,320,307,3.46243566666667,0.24795770351722
"CTNNAL1",2240,5.51521,2825,7.46574,4046,10.4732,7.81805,"Ctnnal1",4.354385,3.382112,3.220533,345,248,176,3.65234333333333,1.89539966597478
"CTNNB1",4770,12.7504,4889,14.027,6544,18.3902,15.0558666667,"Ctnnb1",128.985849,118.586848,137.721673,4054,3727,3085,128.431456666667,0.124049184643342
"CTNNBIP1",661,1.86069,731,2.20866,641,1.897,1.98878333333,"Ctnnbip1",2.529698,3.563898,3.526731,222,218,213,3.20677566666667,0.710468912571758
"CTNNBL1",778,0.762822,780,0.820878,793,0.817439,0.800379666667,"Ctnnbl1",4.345009,4.168361,3.325725,102,88,69,3.946365,0.363980350553791
"CTNND1",5111,13.4666,5750,16.2614,6735,18.6563,16.1281,"Ctnnd1",8.948113,10.901151,10.391807,901,922,751,10.080357,1.5458075944665
"CTNND2",2673,0.500713,2885,0.580065,2202,0.433656,0.504811333333,"Ctnnd2",0.022465,0.035662,0.159994,2,2,3,0.072707,1.40281673684706
