"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABHD10",20.734833,22.479951,21.319982,21.5115886666667,502,570,353,"Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,1.23317024911458
"ABHD11",5.79209,6.6316,4.983045,5.802245,56,74,48,"Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,0.305571799089721
"ABHD12",62.698382,74.955257,56.465736,64.7064583333333,591,762,413,"Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,0.315553075127775
"ABHD12B",3.562703,1.658765,4.615794,3.27908733333333,22,21,30,"Abhd12b",0.170078,0.151447,0.182774,12,2,5,0.168099666666667,3.66328957660291
"ABHD13",2.86622,3.359063,3.388676,3.204653,195,241,166,"Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,1.00111913959665
"ABHD14A",25.012009,25.594496,21.460029,24.022178,268,287,164,"Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,1.21232011186095
"ABHD14B",1.988993,2.13046,2.242736,2.12072966666667,33,40,33,"Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,0.186895895717629
"ABHD15",0.139043,0.156659,0.265244,0.186982,6,8,8,"Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,0.503523943343718
"ABHD16A",34.317671,41.166479,61.739668,45.7412726666667,552,678,517,"Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,0.615678227060777
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,0.927879054058234
"ABHD17A",13.189788,17.685175,18.251272,16.3754116666667,437,578,391,"Abhd17a",54.32776,41.861233,48.254641,1996,396,869,48.147878,0.353533303445302
